,blockfacename,location,paidparkingarea,paidparkingsubarea,parkingcategory,parkingspacecount,parkingtimelimitcategory,sideofstreet,sourceelementkey,latitude,longitude
34,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,"{'type': 'Point', 'coordinates': [-122.31667425, 47.60982856]}",12th Avenue,,Paid Parking,7,120.0,E,1578,47.60982856,-122.31667425
35,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,"{'type': 'Point', 'coordinates': [-122.31696537, 47.61587879]}",Capitol Hill,South,Paid Parking,10,120.0,W,1589,47.61587879,-122.31696537
36,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,"{'type': 'Point', 'coordinates': [-122.31676244, 47.61586659]}",Capitol Hill,South,Paid Parking,9,120.0,E,1590,47.61586659,-122.31676244
37,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,"{'type': 'Point', 'coordinates': [-122.31554617, 47.66058075]}",University District,Core,Paid Parking,12,120.0,W,1601,47.66058075,-122.31554617
38,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,"{'type': 'Point', 'coordinates': [-122.31536787, 47.6605704]}",University District,Core,Paid Parking,19,120.0,E,1602,47.6605704,-122.31536787
39,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,"{'type': 'Point', 'coordinates': [-122.31575129, 47.67537128]}",Roosevelt,,Paid Parking,6,240.0,W,1617,47.67537128,-122.31575129
40,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,"{'type': 'Point', 'coordinates': [-122.31556457, 47.67536857]}",Roosevelt,,Paid Parking,5,240.0,E,1618,47.67536857,-122.31556457
41,13TH AVE BETWEEN E PIKE ST AND E PINE ST,"{'type': 'Point', 'coordinates': [-122.31559256, 47.6147267]}",Pike-Pine,,Paid Parking,10,120.0,W,1821,47.6147267,-122.31559256
42,15TH AVE BETWEEN E MADISON ST AND E PINE ST,"{'type': 'Point', 'coordinates': [-122.31269957, 47.61494753]}",Pike-Pine,,Paid Parking,7,120.0,E,2054,47.61494753,-122.31269957
43,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,"{'type': 'Point', 'coordinates': [-122.31210101, 47.65902135]}",University District,Core,Paid Parking,5,120.0,W,2085,47.65902135,-122.31210101
44,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,"{'type': 'Point', 'coordinates': [-122.31203276, 47.66398607]}",University District,Edge,Paid Parking,6,240.0,W,2089,47.66398607,-122.31203276
45,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,"{'type': 'Point', 'coordinates': [-122.31187465, 47.66397536]}",University District,Edge,Paid Parking,23,240.0,E,2090,47.66397536,-122.31187465
46,2ND AVE BETWEEN WALL ST AND VINE ST,"{'type': 'Point', 'coordinates': [-122.3484389, 47.61558515]}",Belltown,North,Paid Parking,8,240.0,SW,2781,47.61558515,-122.3484389
47,2ND AVE BETWEEN WALL ST AND VINE ST,"{'type': 'Point', 'coordinates': [-122.34830052, 47.61569634]}",Belltown,North,Paid Parking,10,240.0,NE,2782,47.61569634,-122.34830052
48,2ND AVE BETWEEN CEDAR ST AND CLAY ST,"{'type': 'Point', 'coordinates': [-122.35027481, 47.61666366]}",Belltown,North,Paid Parking,7,240.0,SW,2785,47.61666366,-122.35027481
