,blockfacename,location,paidparkingarea,paidparkingsubarea,parkingcategory,parkingspacecount,parkingtimelimitcategory,sideofstreet,sourceelementkey,latitude,longitude
425,14TH AVE BETWEEN E UNION ST AND E MADISON ST,"{'type': 'Point', 'coordinates': [-122.31431635, 47.61341953]}",Pike-Pine,,Paid Parking,9,120.0,W,24829,47.61341953,-122.31431635
426,14TH AVE BETWEEN E UNION ST AND E MADISON ST,"{'type': 'Point', 'coordinates': [-122.31412348, 47.6133792]}",Pike-Pine,,Paid Parking,6,120.0,E,24830,47.6133792,-122.31412348
427,14TH AVE BETWEEN E PIKE ST AND E PINE ST,"{'type': 'Point', 'coordinates': [-122.31432653, 47.61470687]}",Pike-Pine,,Paid Parking,8,120.0,W,24833,47.61470687,-122.31432653
428,14TH AVE BETWEEN E PIKE ST AND E PINE ST,"{'type': 'Point', 'coordinates': [-122.31416404, 47.61468753]}",Pike-Pine,,Paid Parking,12,120.0,E,24834,47.61468753,-122.31416404
429,15TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,"{'type': 'Point', 'coordinates': [-122.31206037, 47.66219251]}",University District,Edge,Paid Parking,8,240.0,W,25041,47.66219251,-122.31206037
430,15TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,"{'type': 'Point', 'coordinates': [-122.3118412, 47.66219373]}",University District,Edge,Paid Parking,16,240.0,E,25042,47.66219373,-122.3118412
431,2ND AVE BETWEEN UNION ST AND PIKE ST,"{'type': 'Point', 'coordinates': [-122.33855878, 47.60874134]}",Commercial Core,Retail,Paid Parking,2,120.0,SW,25701,47.60874134,-122.33855878
432,2ND AVE BETWEEN UNION ST AND PIKE ST,"{'type': 'Point', 'coordinates': [-122.33833227, 47.60881681]}",Commercial Core,Retail,Paid Parking,5,120.0,NE,25702,47.60881681,-122.33833227
433,2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.34118282, 47.61127593]}",Belltown,South,Paid Parking,14,120.0,SW,25705,47.61127593,-122.34118282
434,2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.34102039, 47.61140567]}",Belltown,South,Paid Parking,10,120.0,NE,25706,47.61140567,-122.34102039
435,2ND AVE BETWEEN BLANCHARD ST AND BELL ST,"{'type': 'Point', 'coordinates': [-122.34502716, 47.61356031]}",Belltown,South,Paid Parking,3,120.0,SW,25709,47.61356031,-122.34502716
436,2ND AVE BETWEEN BLANCHARD ST AND BELL ST,"{'type': 'Point', 'coordinates': [-122.34489711, 47.61369828]}",Belltown,South,Paid Parking,7,120.0,NE,25710,47.61369828,-122.34489711
437,2ND AVE BETWEEN BELL ST AND BATTERY ST,"{'type': 'Point', 'coordinates': [-122.34632708, 47.61433067]}",Belltown,North,Paid Parking,12,240.0,SW,25713,47.61433067,-122.34632708
438,2ND AVE BETWEEN BELL ST AND BATTERY ST,"{'type': 'Point', 'coordinates': [-122.34618661, 47.61445148]}",Belltown,North,Paid Parking,11,240.0,NE,25714,47.61445148,-122.34618661
439,2ND AVE BETWEEN VINE ST AND CEDAR ST,"{'type': 'Point', 'coordinates': [-122.34936046, 47.61613375]}",Belltown,North,Paid Parking,7,240.0,SW,25717,47.61613375,-122.34936046
440,2ND AVE BETWEEN VINE ST AND CEDAR ST,"{'type': 'Point', 'coordinates': [-122.34921056, 47.61624542]}",Belltown,North,Paid Parking,4,240.0,NE,25718,47.61624542,-122.34921056
441,3RD AVE BETWEEN BELL ST AND BATTERY ST,"{'type': 'Point', 'coordinates': [-122.34549499, 47.61500973]}",Belltown,North,Paid Parking,9,240.0,SW,27277,47.61500973,-122.34549499
442,3RD AVE BETWEEN VINE ST AND CEDAR ST,"{'type': 'Point', 'coordinates': [-122.34849303, 47.61680068]}",Belltown,North,Paid Parking,1,240.0,SW,27281,47.61680068,-122.34849303
443,3RD AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,"{'type': 'Point', 'coordinates': [-122.33034753, 47.60129268]}",Pioneer Square,Edge,Paid Parking,4,120.0,W,27393,47.60129268,-122.33034753
444,3RD AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,"{'type': 'Point', 'coordinates': [-122.33016518, 47.60128142]}",Pioneer Square,Edge,Paid Parking,3,120.0,E,27394,47.60128142,-122.33016518
445,3RD AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,"{'type': 'Point', 'coordinates': [-122.33020511, 47.60041807]}",Pioneer Square,Edge,Paid Parking,3,120.0,E,27398,47.60041807,-122.33020511
446,3RD AVE S BETWEEN S MAIN ST AND S JACKSON ST,"{'type': 'Point', 'coordinates': [-122.33021365, 47.59942516]}",Pioneer Square,Edge,Paid Parking,2,120.0,E,27402,47.59942516,-122.33021365
447,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,"{'type': 'Point', 'coordinates': [-122.28620595, 47.55825614]}",Columbia City,,Paid Parking,9,240.0,W,28581,47.55825614,-122.28620595
448,4TH AVE BETWEEN DILLING WAY AND JEFFERSON ST,"{'type': 'Point', 'coordinates': [-122.32943221, 47.60241664]}",Pioneer Square,Edge,Paid Parking,1,120.0,NE,28946,47.60241664,-122.32943221
449,4TH AVE BETWEEN UNIVERSITY ST AND UNION ST,"{'type': 'Point', 'coordinates': [-122.33544037, 47.60867286]}",Commercial Core,Retail,Paid Parking,10,120.0,SW,28949,47.60867286,-122.33544037
450,4TH AVE BETWEEN BELL ST AND BATTERY ST,"{'type': 'Point', 'coordinates': [-122.34465728, 47.61568669]}",Belltown,North,Paid Parking,5,240.0,SW,28953,47.61568669,-122.34465728
451,4TH AVE BETWEEN BELL ST AND BATTERY ST,"{'type': 'Point', 'coordinates': [-122.34448656, 47.61581883]}",Belltown,North,Paid Parking,8,240.0,NE,28954,47.61581883,-122.34448656
452,4TH AVE BETWEEN WALL ST AND VINE ST,"{'type': 'Point', 'coordinates': [-122.34670724, 47.61689876]}",Belltown,North,Paid Parking,7,240.0,SW,28957,47.61689876,-122.34670724
453,4TH AVE BETWEEN WALL ST AND VINE ST,"{'type': 'Point', 'coordinates': [-122.3465524, 47.61701844]}",Belltown,North,Paid Parking,9,240.0,NE,28958,47.61701844,-122.3465524
454,4TH AVE BETWEEN CEDAR ST AND CLAY ST,"{'type': 'Point', 'coordinates': [-122.34857311, 47.61800903]}",Belltown,North,Paid Parking,6,240.0,SW,28961,47.61800903,-122.34857311
455,4TH AVE BETWEEN CEDAR ST AND CLAY ST,"{'type': 'Point', 'coordinates': [-122.34846587, 47.61814592]}",Belltown,North,Paid Parking,3,240.0,NE,28962,47.61814592,-122.34846587
456,5TH AVE BETWEEN BATTERY ST AND WALL ST,"{'type': 'Point', 'coordinates': [-122.3449076, 47.61702946]}",Belltown,North,Paid Parking,8,240.0,SW,30101,47.61702946,-122.3449076
457,5TH AVE BETWEEN BATTERY ST AND WALL ST,"{'type': 'Point', 'coordinates': [-122.34476653, 47.61714271]}",Belltown,North,Paid Parking,10,240.0,NE,30102,47.61714271,-122.34476653
458,6TH AVE BETWEEN PIKE ST AND PINE ST,"{'type': 'Point', 'coordinates': [-122.33500784, 47.61160687]}",Commercial Core,Retail,Paid Parking,5,120.0,SW,30697,47.61160687,-122.33500784
459,6TH AVE BETWEEN PIKE ST AND PINE ST,"{'type': 'Point', 'coordinates': [-122.33483301, 47.61166068]}",Commercial Core,Retail,Paid Parking,9,120.0,NE,30698,47.61166068,-122.33483301
460,6TH AVE BETWEEN OLIVE WAY AND STEWART ST,"{'type': 'Point', 'coordinates': [-122.33672396, 47.61334209]}",Denny Triangle,South,Paid Parking,2,120.0,SW,30701,47.61334209,-122.33672396
461,6TH AVE BETWEEN OLIVE WAY AND STEWART ST,"{'type': 'Point', 'coordinates': [-122.33655818, 47.61340849]}",Denny Triangle,South,Paid Parking,4,120.0,NE,30702,47.61340849,-122.33655818
462,6TH AVE BETWEEN WALL ST AND DENNY WAY,"{'type': 'Point', 'coordinates': [-122.34494996, 47.61820358]}",Denny Triangle,North,Paid Parking,8,240.0,SW,30705,47.61820358,-122.34494996
463,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,"{'type': 'Point', 'coordinates': [-122.33560622, 47.61399229]}",Denny Triangle,South,Paid Parking,6,120.0,NE,30970,47.61399229,-122.33560622
464,7TH AVE BETWEEN BATTERY ST AND DEAD END,"{'type': 'Point', 'coordinates': [-122.34296812, 47.61832103]}",Denny Triangle,North,Paid Parking,4,240.0,NE,30974,47.61832103,-122.34296812
465,8TH AVE BETWEEN STEWART ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.33591854, 47.61540116]}",Denny Triangle,South,Paid Parking,6,120.0,NE,31058,47.61540116,-122.33591854
466,8TH AVE BETWEEN WESTLAKE AVE AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.33869955, 47.61706453]}",Denny Triangle,North,Paid Parking,4,240.0,NE,31062,47.61706453,-122.33869955
467,9TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,"{'type': 'Point', 'coordinates': [-122.32906872, 47.61018833]}",First Hill,,Paid Parking,4,120.0,SW,31297,47.61018833,-122.32906872
468,9TH AVE BETWEEN LENORA ST AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.33766765, 47.61759839]}",Denny Triangle,North,Paid Parking,6,240.0,NE,31302,47.61759839,-122.33766765
469,9TH AVE N BETWEEN DENNY WAY AND JOHN ST,"{'type': 'Point', 'coordinates': [-122.33968381, 47.61912274]}",South Lake Union,South,Paid Parking,12,600.0,E,31310,47.61912274,-122.33968381
470,9TH AVE N BETWEEN THOMAS ST AND HARRISON ST,"{'type': 'Point', 'coordinates': [-122.33986607, 47.62144373]}",South Lake Union,South,Paid Parking,15,120.0,W,31313,47.62144373,-122.33986607
471,9TH AVE N BETWEEN THOMAS ST AND HARRISON ST,"{'type': 'Point', 'coordinates': [-122.33967537, 47.62145949]}",South Lake Union,South,Paid Parking,5,120.0,E,31314,47.62145949,-122.33967537
472,ALASKAN WAY BETWEEN PINE ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.34436292, 47.60896401]}",Belltown,South,Paid Parking,11,120.0,NE,31490,47.60896401,-122.34436292
473,ALASKAN WAY BETWEEN LENORA ST AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.34696795, 47.61026981]}",Belltown,South,Paid Parking,13,120.0,SW,31493,47.61026981,-122.34696795
474,ALASKAN WAY BETWEEN LENORA ST AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.34680045, 47.6104002]}",Belltown,South,Paid Parking,8,120.0,NE,31494,47.6104002,-122.34680045
475,ALASKAN WAY BETWEEN BLANCHARD ST AND XW BELL ST,"{'type': 'Point', 'coordinates': [-122.34809425, 47.61117107]}",Belltown,South,Paid Parking,1,120.0,NE,31498,47.61117107,-122.34809425
476,ALASKAN WAY S BETWEEN S JACKSON ST AND S KING ST,"{'type': 'Point', 'coordinates': [-122.33604164, 47.59881406]}",Pioneer Square,Edge,Unrestricted Parking,11,,W,31501,47.59881406,-122.33604164
477,ALASKAN E RDWY WAY BETWEEN MARION ST AND MADISON ST,"{'type': 'Point', 'coordinates': [-122.33791758, 47.60352154]}",Commercial Core,Waterfront,Paid Parking,20,240.0,SW,31509,47.60352154,-122.33791758
478,ALASKAN E RDWY WAY BETWEEN MARION ST AND MADISON ST,"{'type': 'Point', 'coordinates': [-122.33775965, 47.60358859]}",Commercial Core,Waterfront,Paid Parking,16,240.0,NE,31510,47.60358859,-122.33775965
479,ALASKAN E RDWY WAY S BETWEEN S MAIN ST AND S JACKSON ST,"{'type': 'Point', 'coordinates': [-122.33563516, 47.59961708]}",Pioneer Square,Edge,Paid Parking,21,120.0,W,31517,47.59961708,-122.33563516
480,ALDER ST BETWEEN TERRY AVE AND BROADWAY,"{'type': 'Point', 'coordinates': [-122.32125908, 47.60411979]}",First Hill,,Restricted Parking Zone,3,120.0,NW,31541,47.60411979,-122.32125908
481,ALDER ST BETWEEN TERRY AVE AND BROADWAY,"{'type': 'Point', 'coordinates': [-122.32117725, 47.60402508]}",First Hill,,Restricted Parking Zone,6,120.0,SE,31542,47.60402508,-122.32117725
482,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,"{'type': 'Point', 'coordinates': [-122.34036244, 47.62720712]}",South Lake Union,North,Paid Parking,15,600.0,N,31593,47.62720712,-122.34036244
483,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,"{'type': 'Point', 'coordinates': [-122.38403049, 47.66700483]}",Ballard,Core,Paid Parking,23,120.0,SW,31849,47.66700483,-122.38403049
484,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,"{'type': 'Point', 'coordinates': [-122.3838976, 47.66711216]}",Ballard,Core,Paid Parking,19,120.0,NE,31850,47.66711216,-122.3838976
485,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,"{'type': 'Point', 'coordinates': [-122.38563801, 47.66808303]}",Ballard,Core,Paid Parking,39,120.0,SW,31853,47.66808303,-122.38563801
486,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,"{'type': 'Point', 'coordinates': [-122.38558818, 47.66824127]}",Ballard,Core,Paid Parking,14,120.0,NE,31854,47.66824127,-122.38558818
487,BATTERY ST BETWEEN 1ST AVE AND 2ND AVE,"{'type': 'Point', 'coordinates': [-122.34745116, 47.61453651]}",Belltown,North,Paid Parking,15,240.0,NW,31889,47.61453651,-122.34745116
488,BATTERY ST BETWEEN 1ST AVE AND 2ND AVE,"{'type': 'Point', 'coordinates': [-122.34729378, 47.61444164]}",Belltown,North,Paid Parking,8,240.0,SE,31890,47.61444164,-122.34729378
489,BATTERY ST BETWEEN 3RD AVE AND 4TH AVE,"{'type': 'Point', 'coordinates': [-122.34570735, 47.61587638]}",Belltown,North,Paid Parking,5,240.0,NW,31893,47.61587638,-122.34570735
490,BATTERY ST BETWEEN 3RD AVE AND 4TH AVE,"{'type': 'Point', 'coordinates': [-122.34555473, 47.61578617]}",Belltown,North,Paid Parking,2,240.0,SE,31894,47.61578617,-122.34555473
491,BELL ST BETWEEN ELLIOTT AVE AND WESTERN AVE,"{'type': 'Point', 'coordinates': [-122.34783611, 47.61244339]}",Belltown,South,Paid Parking,6,120.0,NW,32017,47.61244339,-122.34783611
492,BELL ST BETWEEN ELLIOTT AVE AND WESTERN AVE,"{'type': 'Point', 'coordinates': [-122.34769758, 47.6123506]}",Belltown,South,Paid Parking,6,120.0,SE,32018,47.6123506,-122.34769758
493,BELL ST BETWEEN 1ST AVE AND 2ND AVE,"{'type': 'Point', 'coordinates': [-122.34597326, 47.61368424]}",Belltown,South,Paid Parking,4,120.0,SE,32022,47.61368424,-122.34597326
494,BELL ST BETWEEN 3RD AVE AND 4TH AVE,"{'type': 'Point', 'coordinates': [-122.34425708, 47.61501529]}",Belltown,South,Paid Parking,2,120.0,SE,32026,47.61501529,-122.34425708
495,BELL ST BETWEEN 4TH AVE AND 5TH AVE,"{'type': 'Point', 'coordinates': [-122.34339648, 47.61568046]}",Belltown,South,Paid Parking,5,120.0,SE,32030,47.61568046,-122.34339648
496,BELMONT AVE BETWEEN E UNION ST AND E PIKE ST,"{'type': 'Point', 'coordinates': [-122.32450368, 47.61353905]}",Pike-Pine,,Restricted Parking Zone,9,120.0,W,32049,47.61353905,-122.32450368
497,BELMONT AVE BETWEEN E PINE ST AND E OLIVE ST,"{'type': 'Point', 'coordinates': [-122.32458536, 47.61580362]}",Capitol Hill,South,Restricted Parking Zone,8,120.0,W,32053,47.61580362,-122.32458536
498,BELMONT AVE BETWEEN E PINE ST AND E OLIVE ST,"{'type': 'Point', 'coordinates': [-122.32437474, 47.61582123]}",Capitol Hill,South,Restricted Parking Zone,19,120.0,E,32054,47.61582123,-122.32437474
499,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,"{'type': 'Point', 'coordinates': [-122.33596324, 47.62027032]}",South Lake Union,South,Paid Parking,2,120.0,W,32121,47.62027032,-122.33596324
500,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,"{'type': 'Point', 'coordinates': [-122.33576039, 47.62028326]}",South Lake Union,South,Paid Parking,9,120.0,E,32122,47.62028326,-122.33576039
501,BOREN AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,"{'type': 'Point', 'coordinates': [-122.33595638, 47.6226007]}",South Lake Union,South,Paid Parking,22,600.0,W,32125,47.6226007,-122.33595638
502,BOREN AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,"{'type': 'Point', 'coordinates': [-122.33572918, 47.62261492]}",South Lake Union,South,Paid Parking,10,120.0,E,32126,47.62261492,-122.33572918
503,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,"{'type': 'Point', 'coordinates': [-122.33592998, 47.62386321]}",South Lake Union,South,Paid Parking,6,120.0,W,32129,47.62386321,-122.33592998
504,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,"{'type': 'Point', 'coordinates': [-122.33573119, 47.62387342]}",South Lake Union,South,Paid Parking,8,120.0,E,32130,47.62387342,-122.33573119
505,BOYLSTON AVE BETWEEN E UNION ST AND E PIKE ST,"{'type': 'Point', 'coordinates': [-122.32346094, 47.61352495]}",Pike-Pine,,Restricted Parking Zone,9,120.0,W,32173,47.61352495,-122.32346094
506,BOYLSTON AVE BETWEEN E PINE ST AND E OLIVE ST,"{'type': 'Point', 'coordinates': [-122.32352842, 47.61581966]}",Capitol Hill,South,Restricted Parking Zone,5,120.0,W,32177,47.61581966,-122.32352842
507,BROADWAY BETWEEN BOYLSTON AVE AND MARION ST,"{'type': 'Point', 'coordinates': [-122.32064833, 47.60984775]}",First Hill,,Paid Parking,3,120.0,E,32258,47.60984775,-122.32064833
508,BROADWAY BETWEEN MARION ST AND MADISON ST,"{'type': 'Point', 'coordinates': [-122.32064974, 47.61063958]}",First Hill,,Paid Parking,3,120.0,E,32262,47.61063958,-122.32064974
509,BROADWAY E BETWEEN E HARRISON ST AND E REPUBLICAN ST,"{'type': 'Point', 'coordinates': [-122.32102062, 47.62255637]}",Capitol Hill,North,Paid Parking,4,120.0,W,32265,47.62255637,-122.32102062
510,BROADWAY E BETWEEN E HARRISON ST AND E REPUBLICAN ST,"{'type': 'Point', 'coordinates': [-122.32080973, 47.62255516]}",Capitol Hill,North,Paid Parking,8,120.0,E,32266,47.62255516,-122.32080973
511,BROOKLYN AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,"{'type': 'Point', 'coordinates': [-122.31431739, 47.66400472]}",University District,Core,Paid Parking,19,120.0,W,32289,47.66400472,-122.31431739
512,BROOKLYN AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,"{'type': 'Point', 'coordinates': [-122.31413072, 47.6640034]}",University District,Core,Paid Parking,15,120.0,E,32290,47.6640034,-122.31413072
513,CEDAR ST BETWEEN WESTERN AVE AND 1ST AVE,"{'type': 'Point', 'coordinates': [-122.35110871, 47.61553753]}",Belltown,North,Paid Parking,10,240.0,NW,32425,47.61553753,-122.35110871
514,CEDAR ST BETWEEN WESTERN AVE AND 1ST AVE,"{'type': 'Point', 'coordinates': [-122.35096316, 47.61541688]}",Belltown,North,Paid Parking,6,240.0,SE,32426,47.61541688,-122.35096316
515,CEDAR ST BETWEEN 3RD AVE AND 4TH AVE,"{'type': 'Point', 'coordinates': [-122.34854447, 47.61750448]}",Belltown,North,Paid Parking,7,240.0,NW,32429,47.61750448,-122.34854447
516,CEDAR ST BETWEEN 3RD AVE AND 4TH AVE,"{'type': 'Point', 'coordinates': [-122.34838097, 47.61740601]}",Belltown,North,Paid Parking,8,240.0,SE,32430,47.61740601,-122.34838097
517,CEDAR ST BETWEEN 4TH AVE AND DENNY WAY,"{'type': 'Point', 'coordinates': [-122.34772514, 47.61818792]}",Belltown,North,Paid Parking,5,240.0,NW,32433,47.61818792,-122.34772514
518,CEDAR ST BETWEEN 4TH AVE AND DENNY WAY,"{'type': 'Point', 'coordinates': [-122.34751872, 47.6181351]}",Belltown,North,Paid Parking,2,240.0,SE,32434,47.6181351,-122.34751872
519,CHERRY ST BETWEEN 1ST AVE AND 2ND AVE,"{'type': 'Point', 'coordinates': [-122.33374264, 47.6028645]}",Pioneer Square,Core,Paid Parking,8,120.0,NW,32461,47.6028645,-122.33374264
520,CHERRY ST BETWEEN 1ST AVE AND 2ND AVE,"{'type': 'Point', 'coordinates': [-122.33364026, 47.6027526]}",Pioneer Square,Core,Paid Parking,7,120.0,SE,32462,47.6027526,-122.33364026
521,CHERRY ST BETWEEN 7TH AVE AND 8TH AVE,"{'type': 'Point', 'coordinates': [-122.32700515, 47.60553137]}",First Hill,,Restricted Parking Zone,6,120.0,SE,32466,47.60553137,-122.32700515
522,CHERRY ST BETWEEN 8TH AVE AND 9TH AVE,"{'type': 'Point', 'coordinates': [-122.32592436, 47.60600256]}",First Hill,,Restricted Parking Zone,7,120.0,SE,32470,47.60600256,-122.32592436
523,CLAY ST BETWEEN 2ND AVE AND 3RD AVE,"{'type': 'Point', 'coordinates': [-122.35035405, 47.61740397]}",Belltown,North,Paid Parking,14,240.0,NW,32489,47.61740397,-122.35035405
524,CLAY ST BETWEEN 2ND AVE AND 3RD AVE,"{'type': 'Point', 'coordinates': [-122.3501629, 47.61730189]}",Belltown,North,Paid Parking,9,240.0,SE,32490,47.61730189,-122.3501629
525,COLUMBIA ST BETWEEN 1ST AVE AND 2ND AVE,"{'type': 'Point', 'coordinates': [-122.33433522, 47.60345477]}",Pioneer Square,Core,Paid Parking,6,120.0,SE,32546,47.60345477,-122.33433522
526,COLUMBIA ST BETWEEN 8TH AVE AND 9TH AVE,"{'type': 'Point', 'coordinates': [-122.32659016, 47.606704]}",First Hill,,Paid Parking,9,120.0,SE,32554,47.606704,-122.32659016
527,COLUMBIA ST BETWEEN BOREN AVE AND MINOR AVE,"{'type': 'Point', 'coordinates': [-122.32328744, 47.6082009]}",First Hill,,Paid Parking,9,120.0,NW,32557,47.6082009,-122.32328744
528,COLUMBIA ST BETWEEN BOREN AVE AND MINOR AVE,"{'type': 'Point', 'coordinates': [-122.32320088, 47.60811139]}",First Hill,,Paid Parking,8,120.0,SE,32558,47.60811139,-122.32320088
529,DENNY LOWER WAY BETWEEN STEWART ST AND EASTLAKE AVE,"{'type': 'Point', 'coordinates': [-122.32979337, 47.61857744]}",South Lake Union,South,Paid Parking,5,120.0,N,32849,47.61857744,-122.32979337
530,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,"{'type': 'Point', 'coordinates': [-122.34221033, 47.62148098]}",South Lake Union,South,Paid Parking,5,120.0,E,32910,47.62148098,-122.34221033
531,DEXTER AVE N BETWEEN LEE ST AND GALER ST,"{'type': 'Point', 'coordinates': [-122.34217596, 47.63181807]}",South Lake Union,North,Paid Parking,11,120.0,E,32914,47.63181807,-122.34217596
532,EASTLAKE AVE E BETWEEN STEWART ST AND THOMAS ST,"{'type': 'Point', 'coordinates': [-122.32926393, 47.62021914]}",South Lake Union,South,Paid Parking,14,120.0,W,33005,47.62021914,-122.32926393
533,FAIRVIEW AVE N BETWEEN DENNY WAY AND JOHN ST,"{'type': 'Point', 'coordinates': [-122.33419318, 47.61911853]}",South Lake Union,South,Paid Parking,3,120.0,E,33142,47.61911853,-122.33419318
534,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,"{'type': 'Point', 'coordinates': [-122.33419944, 47.62024125]}",South Lake Union,South,Paid Parking,15,600.0,E,33146,47.62024125,-122.33419944
535,FREMONT AVE N BETWEEN FREMONT PL N AND N 36TH ST,"{'type': 'Point', 'coordinates': [-122.34999529, 47.65097205]}",Fremont,,Paid Parking,6,120.0,W,33273,47.65097205,-122.34999529
536,FREMONT AVE N BETWEEN FREMONT PL N AND N 36TH ST,"{'type': 'Point', 'coordinates': [-122.34979279, 47.65090542]}",Fremont,,Paid Parking,4,120.0,E,33274,47.65090542,-122.34979279
537,FREMONT PL N BETWEEN FREMONT AVE N AND N 36TH ST,"{'type': 'Point', 'coordinates': [-122.35055557, 47.65102833]}",Fremont,,Paid Parking,6,120.0,NE,33338,47.65102833,-122.35055557
538,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,"{'type': 'Point', 'coordinates': [-122.3323618, 47.62203391]}",South Lake Union,South,Restricted Parking Zone,6,120.0,N,33517,47.62203391,-122.3323618
539,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,"{'type': 'Point', 'coordinates': [-122.33237107, 47.6219051]}",South Lake Union,South,Restricted Parking Zone,9,120.0,S,33518,47.6219051,-122.33237107
540,HOWELL ST BETWEEN 9TH AVE AND TERRY AVE,"{'type': 'Point', 'coordinates': [-122.33279095, 47.61522135]}",Denny Triangle,North,Paid Parking,9,240.0,NW,33673,47.61522135,-122.33279095
541,HOWELL ST BETWEEN 9TH AVE AND TERRY AVE,"{'type': 'Point', 'coordinates': [-122.33265178, 47.61512486]}",Denny Triangle,North,Paid Parking,6,240.0,SE,33674,47.61512486,-122.33265178
542,HOWELL ST BETWEEN YALE AVE AND EASTLAKE AVE,"{'type': 'Point', 'coordinates': [-122.329559, 47.61771697]}",Denny Triangle,North,Paid Parking,4,240.0,NW,33677,47.61771697,-122.329559
543,JAMES ST BETWEEN 2ND AVE AND 3RD AVE,"{'type': 'Point', 'coordinates': [-122.33199665, 47.60259141]}",Pioneer Square,Core,Paid Parking,5,120.0,NW,33733,47.60259141,-122.33199665
544,JAMES ST BETWEEN 2ND AVE AND 3RD AVE,"{'type': 'Point', 'coordinates': [-122.33190037, 47.60249629]}",Pioneer Square,Core,Paid Parking,7,120.0,SE,33734,47.60249629,-122.33190037
545,JOHN ST BETWEEN 5TH AVE N AND TAYLOR AVE N,"{'type': 'Point', 'coordinates': [-122.34695788, 47.61980828]}",Uptown Triangle,,Paid Parking,4,240.0,N,33741,47.61980828,-122.34695788
546,JOHN ST BETWEEN 5TH AVE N AND TAYLOR AVE N,"{'type': 'Point', 'coordinates': [-122.34696304, 47.61966574]}",Uptown Triangle,,Paid Parking,8,240.0,S,33742,47.61966574,-122.34696304
547,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,"{'type': 'Point', 'coordinates': [-122.33104118, 47.61973548]}",South Lake Union,South,Paid Parking,9,120.0,N,33745,47.61973548,-122.33104118
548,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,"{'type': 'Point', 'coordinates': [-122.33109105, 47.61959829]}",South Lake Union,South,Paid Parking,8,120.0,S,33746,47.61959829,-122.33109105
549,LENORA ST BETWEEN 4TH AVE AND 5TH AVE,"{'type': 'Point', 'coordinates': [-122.34083495, 47.6141247]}",Belltown,South,Paid Parking,4,120.0,SE,33990,47.6141247,-122.34083495
550,LENORA ST BETWEEN TERRY AVE AND BOREN AVE,"{'type': 'Point', 'coordinates': [-122.33584596, 47.61819376]}",Denny Triangle,North,Paid Parking,7,240.0,NW,33993,47.61819376,-122.33584596
551,LENORA ST BETWEEN TERRY AVE AND BOREN AVE,"{'type': 'Point', 'coordinates': [-122.3356497, 47.61810045]}",Denny Triangle,North,Carpool Parking,10,240.0,SE,33994,47.61810045,-122.3356497
552,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,"{'type': 'Point', 'coordinates': [-122.33341762, 47.60580762]}",Commercial Core,Financial,Paid Parking,14,120.0,SE,34214,47.60580762,-122.33341762
553,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,"{'type': 'Point', 'coordinates': [-122.33119149, 47.60673566]}",Commercial Core,Financial,Paid Parking,5,120.0,SE,34218,47.60673566,-122.33119149
